MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates ,Gradient of a Line,Algebra,1.33,2,"What is the gradient of the line passing through the points (2, 3) and (4, 7)?",Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates
313,Believes edges of a 3D shape do not include edges of base,Counting edges of 3D shapes. CorrectAnswer: A.,Geometry,6,9,How many edges does a triangular prism have?,Believes edges of a 3D shape do not include edges of base
314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power ",Exponentiation of Negative Numbers,Algebra,-16,16,What is the value of \((-2)^4\)?,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power."
316,Mixes up primary and secondary data types,Sum of even numbers. CorrectAnswer: A.,Arithmetic,55,110,What is the sum of the first 10 positive even numbers?,A misconception that mixes up the sum of the first 10 positive even numbers with the sum of the first 10 positive integers.
319,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms",Factorisation of polynomials. CorrectAnswer: A.,Algebra,\( 2(6x^2 + 9x + 3) \),\( 6(2x^2 + 3x + 1) \),Factorise the expression \( 12x^2 + 18x + 6 \).,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms."
320,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x",Factorising Quadratic Expressions,Algebra,\( (x + 7)(x + 12) \),\( (x + 3)(x + 4) \),Factorise the quadratic expression \( x^2 + 7x + 12 \).,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of \( x \)."
321,Believes class width multiplied by frequency gives frequency density,Frequency Density Calculation,Statistics,50,2,"In a frequency distribution table, if the class width is 5 and the frequency of a class is 10, what is the frequency density of that class?",Believes class width multiplied by frequency gives frequency density
323,"When measuring a line segment with a ruler, assumes the line starts at 0",Length of a line segment. CorrectAnswer: A. ,Measurement,9 cm,5 cm,"If a line segment starts at 2 cm and ends at 7 cm on a ruler, what is the length of the line segment?","When measuring a line segment with a ruler, assumes the line starts at 0."
324,Believes the two variables have to add to the same value in inverse proportion,Inverse Proportion,Algebra,12,3,"If \( x \) and \( y \) are inversely proportional, and \( x = 4 \) when \( y = 6 \), what is the value of \( y \) when \( x = 8 \)?",Believes the two variables have to add to the same value in inverse proportion.
325,Does not check the labelling of the axes ,Interpreting coordinate axes. CorrectAnswer: A. ,Algebra,"(5, 85)","(85, 5)","In a graph showing the relationship between the number of hours studied and the score obtained on a test, the x-axis is labeled ""Score"" and the y-axis is labeled ""Hours Studied"". If a student studies for 5 hours and scores 85 on the test, which point represents this data on the graph?",Does not check the labelling of the axes
327,Mixes up total and part in ratio,Understanding and applying ratios to find total quantities. CorrectAnswer: A.,Ratios and Proportions,10,25,"In a classroom, the ratio of boys to girls is 3:2. If there are 15 boys, how many students are there in total?",Mixes up total and part in ratio
330,"When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation",Inverse Proportion,Algebra,18,36,"If \( y \) is inversely proportional to \( x^2 \), and when \( x = 4 \), \( y = 9 \), find the value of \( y \) when \( x = 2 \).","When working with inverse and direct proportion, forgets to apply the root or index to find \( k \), but remembers when doing the second calculation."
333,Not considered the y value when reading coordinates,Intercepts of linear equations. CorrectAnswer: A.,Algebra,"(3, 0)","(0, 3)",What are the coordinates of the point where the line \( y = 2x + 3 \) intersects the y-axis?,Not considered the y value when reading coordinates
335,Believes 30% is equivalent to 1/3,Percentage Calculation,Arithmetic,30,27,What is 30% of 90?,Believes 30% is equivalent to 1/3
336,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places,Understanding the value of decimal places. CorrectAnswer: A. ,Comparing Decimal Numbers,3,3.14,Which of the following numbers is the largest?,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places.
341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable,Solving quadratic equations using the quadratic formula. CorrectAnswer: A.,Algebra,\( x = \frac{-3 \pm \sqrt{49}}{2} \),\( x = \frac{-3 \pm \sqrt{49}}{4} \),What is the value of \( x \) in the quadratic equation \( 2x^2 + 3x - 5 = 0 \)?,Believes the second term in a 2-term quadratic equation is always a coefficient and the variable.
342,Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle,Area of a right-angled triangle derived from an isosceles triangle,Geometry,48 square units,24 square units,"If an isosceles triangle has a base of 10 units and equal sides of 8 units, what is the area of the right-angled triangle formed by drawing a perpendicular from the apex to the midpoint of the base?",Uses the whole base rather than half the base when forming a right-angled triangle from an isosceles triangle
343,Estimates the frequency shown on a pie chart rather than calculating,Interpreting pie charts and calculating proportions. CorrectAnswer: A.,Statistics and Probability,25 students,20 students,"A pie chart shows the distribution of students in a class based on their favorite subjects. If 40% of the pie chart is dedicated to Math, and there are 50 students in the class, how many students prefer Math?",Estimates the frequency shown on a pie chart rather than calculating
348,Writes times in the afternoon as if 10 is midday on a 24 hour clock,Converting 24-hour clock to 12-hour clock. CorrectAnswer: A. ,Time Conversion,10:00 AM,2:00 PM,"If it is 14:00 on a 24-hour clock, what time is it in the 12-hour format?",Writes times in the afternoon as if 10 is midday on a 24-hour clock.
351,Thinks a chord does not have to start and end at the circumference of the circle.,Definition of a chord in a circle. CorrectAnswer: A. ,Geometry,\( AB \) is not necessarily a chord of the circle.,\( AB \) is a chord of the circle.,"In a circle with center \( O \), a line segment \( AB \) is drawn such that \( A \) and \( B \) are points on the circumference. If \( AB \) is not a diameter, what is the relationship between \( AB \) and the circle?",Thinks a chord does not have to start and end at the circumference of the circle.
354,Believes class width represents frequency in a histogram,Understanding of class width in histograms. CorrectAnswer: A. ,Statistics.,The frequency of values in each class.,The range of values in each class.,"In a histogram, if the class width is 5, what does this value represent?",Believes class width represents frequency in a histogram.
356,Finds the sum of the missing angles but not the angle being asked,Sum of angles in a triangle. CorrectAnswer: A.,Geometry,105°,75°,"In a triangle, two of the angles are 45° and 60°. What is the measure of the third angle?",Finds the sum of the missing angles but not the angle being asked.
358,Believes digits of a number are read/written from right to left,Reading and Writing Numbers CorrectAnswer: A. ,Number Sense and Numeration,4321,1234,What is the number 4321 when read from right to left?,Believes digits of a number are read/written from right to left
359,Confuses random and stratified sampling methods,Sampling Methods,Statistics,"In random sampling, the population is divided into subgroups (strata) and samples are taken from each subgroup, whereas in stratified sampling, every member of the population has an equal chance of being selected.","In random sampling, every member of the population has an equal chance of being selected, whereas in stratified sampling, the population is divided into subgroups (strata) and samples are taken from each subgroup.",What is the primary difference between random sampling and stratified sampling?,Confuses random and stratified sampling methods
360,Gives frequency when asked for relative frequency,Relative Frequency,Statistics,20,0.20,"In a survey of 100 people, 20 people said they prefer tea over coffee. What is the relative frequency of people who prefer tea over coffee?",Gives frequency when asked for relative frequency
