MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds",Understanding of lower and upper bounds in division,Arithmetic,8,72,"If the upper bound of the dividend is 24 and the upper bound of the divisor is 3, what is the lower bound of the quotient?","Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds"
241,Thinks co-interior angles sum to 360 degrees,Co-interior Angles and Parallel Lines,Geometry,240 degrees,360 degrees,"Two parallel lines are cut by a transversal. If one pair of co-interior angles formed are measured to be 120 degrees each, what is the total sum of all four co-interior angles?",Thinks co-interior angles sum to 360 degrees
243,Identifies a common factor but not the highest common factor,Greatest Common Factor (GCF) Calculation,Number Theory,12,8,What is the greatest common factor (GCF) of 24 and 36?,Identifies a common factor but not the highest common factor
245,Does not realise that to maintain balance in an equation they must add or subtract the same amount from both sides,Solving one-step equations by subtraction,Algebra,7,17,"If \( x + 5 = 12 \), what is the value of \( x \)?",Does not realise that to maintain balance in an equation they must subtract the same amount from both sides.
246,Does not think a kilogram is a unit of mass,Understanding units of measurement for mass,Measurement,Kilograms,Liters,What unit would you use to measure the mass of a small pumpkin?,Does not think a kilogram is a unit of mass
247,Found the percentage but added it to 100%,Applying percentage discounts to find final prices,Percentages and Discounts,$60,$105,"If a shirt originally costs $80 and it is on sale for 25% off, what is the final price of the shirt?",Found the percentage but added it to 100%
250,Believes a fraction cannot have a numerator of 0,Understanding of zero as a numerator in fractions,Arithmetic,0,"Undefined, Cannot be determined",What is the value of the fraction \(\frac{0}{5}\)?,Believes a fraction cannot have a numerator of 0
254,Believes all triangle numbers are odd,Understanding of Triangular Numbers,Number Theory,21,"15, 17, 19",Which of the following numbers is the 6th triangular number?,Believes all triangle numbers are odd
257,Uses numerator as whole part of a fraction,Understanding fractional parts and operations,Fractions,3/8 cup,3/4 cup,"If a recipe calls for 3/4 cup of sugar and you only have a 1-cup measuring tool, how much sugar should you use if you want to make half the recipe?",Uses numerator as whole part of a fraction
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing.",Finding Missing Factors in Factor Trees,Number Theory,6,150,"In the factor tree below, what is the missing number represented by x? The tree shows 30 = 5 × x.","When finding a missing number in a factor tree, multiplies by the factor given rather than dividing."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included ",Understanding how to calculate the area of a projection based on object orientation.,Geometry.,48 square cm.,32 square cm.,"A rectangular prism has dimensions 8 cm by 6 cm by 4 cm. If you draw the front elevation view of this prism, what would be the area of the rectangle representing the front view?","Thinks that when drawing the elevation, the bottom layer does not need to be included."
262,Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle ,Understanding the role of intersection in prime factor Venn diagrams for finding LCM.,Number Theory,36,18,What is the least common multiple (LCM) of 12 and 18 if we consider their prime factors using a Venn diagram?,Believes the intersection in a prime factor Venn diagram does not contribute to the size of the number represented by a circle.
266,Identifies a letter as a common factor but doesn't identify a number as a common factor,Factoring Polynomials with Common Factors,Algebra,\(4x^2(3x + 4)\),\(x^2(12x + 16)\),Factor the expression \(12x^3 + 16x^2\).,Identifies \(x^2\) as a common factor but doesn't identify \(4\) as a common factor.
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin",Distance Between Two Points,Coordinate Geometry,19.104972672352158 (approximately),12 and -5,"Find the distance between the points (3, 4) and (-5, -12).","When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin"
274,Confuses angle of a sector with the radius,Area of a Sector Calculation,Geometry,Approximately 52.36 square units,10 units,A circular sector has a central angle of 60 degrees and a radius of 10 units. What is the area of this sector?,Confuses angle of a sector with the radius
275,"When finding a point on a line, assumes the point is always the midpoint",Midpoint Formula,Coordinate Geometry,"(5, 6)","(4, 5), (6, 7)","A line segment has endpoints at (2, 3) and (8, 9). If a point P lies on this line segment, which of the following could be the coordinates of P assuming the common misconception that P must be the midpoint?","When finding a point on a line, assumes the point is always the midpoint"
276,Adds rather than multiplies when scaling up in direct proportion problems,Scaling quantities in direct proportion,Ratios and Proportions,12,7,"If a recipe calls for 3 cups of flour to make 12 cookies, how many cups of flour are needed to make 48 cookies?",Adds rather than multiplies when scaling up in direct proportion problems
277,Thinks pressure is force per unit volume,Understanding Pressure as Force per Unit Area,Physics,78.54 N,39.27 N,"A cylindrical container has a radius of 5 cm and a height of 10 cm. If the pressure at the bottom of the container is 200 N/m² when filled with water, what is the force exerted by the water on the bottom of the container?",Thinks pressure is force per unit volume
